name, long, lat
Saint Jean Pied de Port, -1.235662,43.163559
Roncesvalles,-1.319763812529985,43.00954730092566
Zubiri, -1.50466604700992,42.93036118544159
Pamplona, -1.64269,42.818851
Sahagún, -5.027269,42.370995
El Burgo Ranero, -5.220259,42.422522
Mansilla de las Mulas, -5.417468000000001,42.498966
León, -5.567368,42.598967
Villadangos del Páramo,-5.765223,42.519084
Virgen del Camino, -5.644951,42.577726
Hospital de Orbigo, -5.872651,42.464043
Santibañez de Valdeiglesias, -5.931551,42.458814
Villalongos del Páramo, -5.765208,42.519073
Astorga, -6.053048,42.455471
Rabanal del Camino, -6.284265,42.482341
Ponferrada, -6.593135,42.543449
Villafranca del Bierzo, -6.80738,42.604229
Carretera Villafranca del Bierzo, -6.811975,42.609438
Trabadelo, -6.880417,42.649361
O Cebreiro, -7.044702,42.707749
Samos, -7.326522,42.730547
Triacastela, -7.243545,42.755018
Sarria, -7.412712,42.776479
Portomarin, -7.618897,42.805724
Palas de Rei, -7.868996,42.873225
Arzua, -8.161119,42.926922
Monte de Gozo, -8.4986,42.888142
Nájera, -2.735183,42.416618
Santo Domingo de la Calzada, -2.952554,42.440861
Puente La Reina, -1.81049,42.673119
Estella, -2.027471,42.66983
Los Arcos, -2.19362,42.568829
Logroño, -2.444684,42.468371
Belorado, -3.188696,42.420876
San Juan de Ortega, -3.436747,42.37575
Burgos, -3.7048760000000005,42.340927
Hornillos del Camino, -3.9264109999999994,42.338593
Castrojeriz, -4.137597,42.288216
Frómista, -4.40609,42.266028
Carrión de las Condes, -4.600911,42.337018
Lédigos, -4.865211,42.353469
Santiago de Compostela, -8.544359,42.880615





